OCC_CODE,OCC_TITLE,OCC_GROUP,TOT_EMP,EMP_PRSE,H_MEAN,A_MEAN,MEAN_PRSE,H_PCT10,H_PCT25,H_MEDIAN,H_PCT75,H_PCT90,A_PCT10,A_PCT25,A_MEDIAN,A_PCT75,A_PCT90,ANNUAL,HOURLY
11-3060,Purchasing Managers,broad,"69,620",0.8,52.71,"109,640",0.4,28.64,37.21,49.89,64.28,79.72,"59,560","77,390","103,780","133,700","165,810",,
11-3061,Purchasing Managers,detailed,"69,620",0.8,52.71,"109,640",0.4,28.64,37.21,49.89,64.28,79.72,"59,560","77,390","103,780","133,700","165,810",,
11-3070,"Transportation, Storage, and Distribution Managers",broad,"102,610",1.0,43.86,"91,220",0.4,23.73,30.81,40.33,52.86,68.53,"49,370","64,080","83,890","109,960","142,540",,
11-3071,"Transportation, Storage, and Distribution Managers",detailed,"102,610",1.0,43.86,"91,220",0.4,23.73,30.81,40.33,52.86,68.53,"49,370","64,080","83,890","109,960","142,540",,
11-3110,Compensation and Benefits Managers,broad,"17,570",1.3,53.87,"112,040",0.7,26.85,35.99,48.79,66.23,87.24,"55,840","74,850","101,490","137,760","181,470",,
11-3111,Compensation and Benefits Managers,detailed,"17,570",1.3,53.87,"112,040",0.7,26.85,35.99,48.79,66.23,87.24,"55,840","74,850","101,490","137,760","181,470",,
11-3120,Human Resources Managers,broad,"110,650",0.6,53.45,"111,180",0.3,28.26,36.90,48.46,64.99,85.32,"58,780","76,750","100,800","135,180","177,460",,
11-3121,Human Resources Managers,detailed,"110,650",0.6,53.45,"111,180",0.3,28.26,36.90,48.46,64.99,85.32,"58,780","76,750","100,800","135,180","177,460",,
11-3130,Training and Development Managers,broad,"28,340",1.3,51.81,"107,770",0.6,27.32,35.99,47.50,63.37,82.40,"56,840","74,860","98,810","131,820","171,400",,
11-3131,Training and Development Managers,detailed,"28,340",1.3,51.81,"107,770",0.6,27.32,35.99,47.50,63.37,82.40,"56,840","74,860","98,810","131,820","171,400",,
11-9000,Other Management Occupations,minor,"2,074,200",0.3,44.32,"92,180",0.2,19.67,27.87,40.21,55.51,72.86,"40,910","57,970","83,630","115,450","151,560",,
11-9010,"Farmers, Ranchers, and Other Agricultural Managers",broad,"3,770",7.9,35.20,"73,210",2.5,16.27,23.12,33.71,43.89,57.47,"33,840","48,080","70,110","91,290","119,530",,
11-9013,"Farmers, Ranchers, and Other Agricultural Managers",detailed,"3,770",7.9,35.20,"73,210",2.5,16.27,23.12,33.71,43.89,57.47,"33,840","48,080","70,110","91,290","119,530",,
11-9020,Construction Managers,broad,"213,720",1.1,44.57,"92,700",0.4,24.14,31.20,40.58,53.71,70.36,"50,220","64,890","84,410","111,710","146,340",,
11-9021,Construction Managers,detailed,"213,720",1.1,44.57,"92,700",0.4,24.14,31.20,40.58,53.71,70.36,"50,220","64,890","84,410","111,710","146,340",,
11-9030,Education Administrators,broad,"431,540",0.5,42.68,"88,780",0.5,21.70,30.50,40.31,52.03,65.97,"45,140","63,440","83,850","108,220","137,220",,
11-9031,"Education Administrators, Preschool and Childcare Center/Program",detailed,"47,560",1.7,25.00,"52,010",1.0,13.44,16.48,21.58,30.17,42.13,"27,950","34,280","44,890","62,740","87,630",,
11-9032,"Education Administrators, Elementary and Secondary School",detailed,"226,760",0.6,*,"90,670",0.7,*,*,*,*,*,"59,010","71,460","88,380","108,780","128,110",TRUE,
11-9033,"Education Administrators, Postsecondary",detailed,"126,340",1.1,48.37,"100,600",0.6,23.88,31.17,42.02,58.01,82.23,"49,660","64,830","87,410","120,660","171,040",,
11-9039,"Education Administrators, All Other",detailed,"30,880",1.7,39.99,"83,170",1.5,20.22,27.10,37.20,48.85,61.14,"42,050","56,370","77,380","101,600","127,180",,
11-9040,Architectural and Engineering Managers,broad,"183,430",1.1,65.65,"136,540",0.5,39.35,49.12,61.62,76.84,#,"81,840","102,160","128,170","159,830",#,,
11-9041,Architectural and Engineering Managers,detailed,"183,430",1.1,65.65,"136,540",0.5,39.35,49.12,61.62,76.84,#,"81,840","102,160","128,170","159,830",#,,
11-9050,Food Service Managers,broad,"191,030",1.1,25.54,"53,130",0.4,14.68,18.50,23.12,30.23,39.60,"30,540","38,480","48,080","62,890","82,370",,
11-9051,Food Service Managers,detailed,"191,030",1.1,25.54,"53,130",0.4,14.68,18.50,23.12,30.23,39.60,"30,540","38,480","48,080","62,890","82,370",,
11-9060,Funeral Service Managers,broad,"8,810",3.6,38.58,"80,250",2.1,19.12,25.13,32.89,44.97,66.34,"39,770","52,280","68,420","93,540","137,980",,
11-9061,Funeral Service Managers,detailed,"8,810",3.6,38.58,"80,250",2.1,19.12,25.13,32.89,44.97,66.34,"39,770","52,280","68,420","93,540","137,980",,
11-9070,Gaming Managers,broad,"4,460",4.3,35.46,"73,760",1.6,18.64,24.34,31.83,41.37,56.47,"38,770","50,640","66,200","86,050","117,450",,
11-9071,Gaming Managers,detailed,"4,460",4.3,35.46,"73,760",1.6,18.64,24.34,31.83,41.37,56.47,"38,770","50,640","66,200","86,050","117,450",,
11-9080,Lodging Managers,broad,"30,950",2.2,26.83,"55,810",1.2,13.73,17.28,22.51,31.55,44.46,"28,550","35,950","46,830","65,630","92,480",,
11-9081,Lodging Managers,detailed,"30,950",2.2,26.83,"55,810",1.2,13.73,17.28,22.51,31.55,44.46,"28,550","35,950","46,830","65,630","92,480",,
11-9110,Medical and Health Services Managers,broad,"300,180",0.6,48.72,"101,340",0.3,26.67,34.11,43.72,56.60,74.58,"55,470","70,960","90,940","117,740","155,130",,
11-9111,Medical and Health Services Managers,detailed,"300,180",0.6,48.72,"101,340",0.3,26.67,34.11,43.72,56.60,74.58,"55,470","70,960","90,940","117,740","155,130",,
11-9120,Natural Sciences Managers,broad,"51,900",2.1,63.87,"132,850",1.4,31.53,43.01,56.17,77.15,#,"65,580","89,460","116,840","160,470",#,,
11-9121,Natural Sciences Managers,detailed,"51,900",2.1,63.87,"132,850",1.4,31.53,43.01,56.17,77.15,#,"65,580","89,460","116,840","160,470",#,,
11-9130,Postmasters and Mail Superintendents,broad,"17,930",0.0,31.89,"66,340",0.1,24.51,27.31,31.32,36.95,40.82,"50,990","56,810","65,150","76,860","84,900",,
11-9131,Postmasters and Mail Superintendents,detailed,"17,930",0.0,31.89,"66,340",0.1,24.51,27.31,31.32,36.95,40.82,"50,990","56,810","65,150","76,860","84,900",,
11-9140,"Property, Real Estate, and Community Association Managers",broad,"165,960",1.2,30.90,"64,270",0.8,13.01,17.88,25.58,37.22,54.92,"27,060","37,190","53,200","77,430","114,240",,
11-9141,"Property, Real Estate, and Community Association Managers",detailed,"165,960",1.2,30.90,"64,270",0.8,13.01,17.88,25.58,37.22,54.92,"27,060","37,190","53,200","77,430","114,240",,
11-9150,Social and Community Service Managers,broad,"115,330",0.8,31.61,"65,750",0.4,17.84,22.44,29.40,38.05,48.53,"37,100","46,680","61,160","79,150","100,940",,
11-9151,Social and Community Service Managers,detailed,"115,330",0.8,31.61,"65,750",0.4,17.84,22.44,29.40,38.05,48.53,"37,100","46,680","61,160","79,150","100,940",,
11-9160,Emergency Management Directors,broad,"9,800",1.5,32.28,"67,150",0.7,15.10,21.23,30.18,41.40,53.75,"31,410","44,160","62,780","86,110","111,790",,
11-9161,Emergency Management Directors,detailed,"9,800",1.5,32.28,"67,150",0.7,15.10,21.23,30.18,41.40,53.75,"31,410","44,160","62,780","86,110","111,790",,
11-9190,Miscellaneous Managers,broad,"345,390",0.7,52.11,"108,380",0.3,25.90,36.08,49.78,63.91,79.12,"53,880","75,050","103,530","132,930","164,560",,
11-9199,"Managers, All Other",detailed,"345,390",0.7,52.11,"108,380",0.3,25.90,36.08,49.78,63.91,79.12,"53,880","75,050","103,530","132,930","164,560",,
13-0000,Business and Financial Operations Occupations,major,"6,658,090",0.3,34.14,"71,020",0.2,17.14,22.67,30.67,41.38,54.64,"35,650","47,160","63,800","86,070","113,650",,
13-1000,Business Operations Specialists,minor,"4,137,510",0.3,33.19,"69,030",0.2,16.88,22.36,30.36,40.72,52.80,"35,110","46,520","63,140","84,700","109,820",,
13-1010,"Agents and Business Managers of Artists, Performers, and Athletes",broad,"11,680",5.1,46.35,"96,410",4.7,14.09,20.22,31.01,56.18,#,"29,320","42,060","64,490","116,860",#,,
13-1011,"Agents and Business Managers of Artists, Performers, and Athletes",detailed,"11,680",5.1,46.35,"96,410",4.7,14.09,20.22,31.01,56.18,#,"29,320","42,060","64,490","116,860",#,,
13-1020,Buyers and Purchasing Agents,broad,"408,060",0.6,29.76,"61,900",0.3,16.42,21.03,27.71,36.39,45.85,"34,150","43,750","57,640","75,690","95,370",,
13-1021,"Buyers and Purchasing Agents, Farm Products",detailed,"11,290",3.4,29.07,"60,470",1.2,15.02,19.84,26.66,35.34,47.01,"31,240","41,260","55,450","73,500","97,770",,
13-1022,"Wholesale and Retail Buyers, Except Farm Products",detailed,"112,290",1.5,27.99,"58,210",0.7,14.33,18.92,25.18,33.75,45.05,"29,800","39,350","52,370","70,190","93,700",,
13-1023,"Purchasing Agents, Except Wholesale, Retail, and Farm Products",detailed,"284,480",0.6,30.49,"63,420",0.3,17.57,22.00,28.74,37.30,45.96,"36,540","45,760","59,780","77,590","95,590",,
13-1030,"Claims Adjusters, Appraisers, Examiners, and Investigators",broad,"288,680",1.3,29.99,"62,370",0.3,18.01,22.53,29.43,36.17,43.51,"37,460","46,860","61,220","75,240","90,500",,
13-1031,"Claims Adjusters, Examiners, and Investigators",detailed,"275,500",1.3,29.97,"62,340",0.4,17.90,22.37,29.42,36.24,43.55,"37,220","46,530","61,190","75,380","90,570",,
13-1032,"Insurance Appraisers, Auto Damage",detailed,"13,180",5.4,30.34,"63,100",1.0,21.19,25.20,29.65,35.24,42.02,"44,080","52,410","61,660","73,300","87,390",,
13-1040,Compliance Officers,broad,"236,090",0.5,32.10,"66,770",0.2,17.65,22.89,30.93,39.30,47.81,"36,720","47,610","64,340","81,740","99,450",,
13-1041,Compliance Officers,detailed,"236,090",0.5,32.10,"66,770",0.2,17.65,22.89,30.93,39.30,47.81,"36,720","47,610","64,340","81,740","99,450",,
13-1050,Cost Estimators,broad,"202,600",0.8,30.61,"63,660",0.3,16.48,21.50,28.59,37.62,47.18,"34,280","44,710","59,460","78,250","98,140",,
13-1051,Cost Estimators,detailed,"202,600",0.8,30.61,"63,660",0.3,16.48,21.50,28.59,37.62,47.18,"34,280","44,710","59,460","78,250","98,140",,
13-1070,Human Resources Workers,broad,"503,940",0.5,29.21,"60,760",0.3,14.81,19.94,27.09,36.23,46.79,"30,800","41,470","56,350","75,350","97,330",,
13-1071,Human Resources Specialists,detailed,"426,570",0.5,29.60,"61,560",0.2,15.98,20.42,27.23,36.07,46.38,"33,240","42,470","56,630","75,030","96,470",,
13-1074,Farm Labor Contractors,detailed,"1,210",17.5,20.63,"42,920",9.4,9.20,9.88,17.03,28.12,39.54,"19,140","20,550","35,430","58,490","82,240",,
13-1075,Labor Relations Specialists,detailed,"76,160",1.6,27.20,"56,590",1.3,8.51,10.11,26.27,37.36,49.53,"17,710","21,020","54,630","77,710","103,020",,
13-1080,Logisticians,broad,"120,340",1.2,36.70,"76,330",0.4,22.17,27.72,35.29,44.16,54.21,"46,120","57,660","73,400","91,840","112,750",,
13-1081,Logisticians,detailed,"120,340",1.2,36.70,"76,330",0.4,22.17,27.72,35.29,44.16,54.21,"46,120","57,660","73,400","91,840","112,750",,
13-1110,Management Analysts,broad,"567,840",1.0,43.26,"89,990",0.5,21.73,28.54,38.40,51.42,70.16,"45,200","59,360","79,870","106,950","145,920",,
13-1111,Management Analysts,detailed,"567,840",1.0,43.26,"89,990",0.5,21.73,28.54,38.40,51.42,70.16,"45,200","59,360","79,870","106,950","145,920",,
13-1120,"Meeting, Convention, and Event Planners",broad,"73,290",1.8,24.13,"50,190",0.8,12.73,16.82,22.24,29.19,38.24,"26,480","34,980","46,260","60,710","79,550",,
13-1121,"Meeting, Convention, and Event Planners",detailed,"73,290",1.8,24.13,"50,190",0.8,12.73,16.82,22.24,29.19,38.24,"26,480","34,980","46,260","60,710","79,550",,
13-1130,Fundraisers,broad,"50,530",1.7,27.05,"56,270",0.7,14.79,18.92,24.80,33.70,43.08,"30,760","39,350","51,580","70,100","89,610",,
13-1131,Fundraisers,detailed,"50,530",1.7,27.05,"56,270",0.7,14.79,18.92,24.80,33.70,43.08,"30,760","39,350","51,580","70,100","89,610",,
13-1140,"Compensation, Benefits, and Job Analysis Specialists",broad,"81,520",1.1,30.44,"63,310",0.4,18.46,22.44,28.76,36.13,45.23,"38,400","46,670","59,820","75,150","94,080",,
13-1141,"Compensation, Benefits, and Job Analysis Specialists",detailed,"81,520",1.1,30.44,"63,310",0.4,18.46,22.44,28.76,36.13,45.23,"38,400","46,670","59,820","75,150","94,080",,
13-1150,Training and Development Specialists,broad,"224,110",1.0,29.22,"60,780",0.4,15.48,20.10,27.33,36.35,45.96,"32,190","41,820","56,850","75,610","95,600",,
13-1151,Training and Development Specialists,detailed,"224,110",1.0,29.22,"60,780",0.4,15.48,20.10,27.33,36.35,45.96,"32,190","41,820","56,850","75,610","95,600",,
13-1160,Market Research Analysts and Marketing Specialists,broad,"430,350",0.7,32.59,"67,780",0.4,16.10,21.21,29.23,41.01,54.93,"33,490","44,110","60,800","85,310","114,250",,
13-1161,Market Research Analysts and Marketing Specialists,detailed,"430,350",0.7,32.59,"67,780",0.4,16.10,21.21,29.23,41.01,54.93,"33,490","44,110","60,800","85,310","114,250",,
13-1190,Miscellaneous Business Operations Specialists,broad,"938,480",0.5,34.42,"71,590",0.3,17.39,23.56,31.78,42.32,54.44,"36,170","49,010","66,090","88,030","113,230",,
13-1199,"Business Operations Specialists, All Other",detailed,"938,480",0.5,34.42,"71,590",0.3,17.39,23.56,31.78,42.32,54.44,"36,170","49,010","66,090","88,030","113,230",,
13-2000,Financial Specialists,minor,"2,520,580",0.4,35.71,"74,270",0.2,17.63,23.19,31.20,42.53,57.66,"36,680","48,240","64,900","88,470","119,940",,
13-2010,Accountants and Auditors,broad,"1,168,330",0.6,34.86,"72,500",0.2,19.41,24.20,31.29,41.41,54.68,"40,370","50,340","65,080","86,130","113,740",,
13-2011,Accountants and Auditors,detailed,"1,168,330",0.6,34.86,"72,500",0.2,19.41,24.20,31.29,41.41,54.68,"40,370","50,340","65,080","86,130","113,740",,
13-2020,Appraisers and Assessors of Real Estate,broad,"60,210",2.3,27.42,"57,040",1.2,12.74,17.63,24.53,34.58,45.21,"26,510","36,680","51,030","71,920","94,030",,
13-2021,Appraisers and Assessors of Real Estate,detailed,"60,210",2.3,27.42,"57,040",1.2,12.74,17.63,24.53,34.58,45.21,"26,510","36,680","51,030","71,920","94,030",,
13-2030,Budget Analysts,broad,"58,740",1.2,34.89,"72,560",0.3,22.01,26.93,33.71,42.13,50.17,"45,780","56,020","70,110","87,630","104,350",,
13-2031,Budget Analysts,detailed,"58,740",1.2,34.89,"72,560",0.3,22.01,26.93,33.71,42.13,50.17,"45,780","56,020","70,110","87,630","104,350",,
13-2040,Credit Analysts,broad,"66,490",2.0,34.90,"72,590",0.8,18.73,23.07,30.78,42.08,57.26,"38,960","47,990","64,030","87,520","119,100",,
13-2041,Credit Analysts,detailed,"66,490",2.0,34.90,"72,590",0.8,18.73,23.07,30.78,42.08,57.26,"38,960","47,990","64,030","87,520","119,100",,
13-2050,Financial Analysts and Advisors,broad,"526,630",0.9,43.62,"90,730",0.6,19.71,26.16,35.86,51.20,79.22,"41,000","54,410","74,590","106,490","164,770",,
13-2051,Financial Analysts,detailed,"250,670",1.3,44.05,"91,620",0.7,23.13,28.85,37.68,51.19,73.28,"48,100","60,010","78,380","106,470","152,420",,
13-2052,Personal Financial Advisors,detailed,"183,420",1.6,48.04,"99,920",1.2,15.96,23.75,36.21,59.94,#,"33,190","49,410","75,320","124,680",#,,
13-2053,Insurance Underwriters,detailed,"92,540",2.0,33.71,"70,110",0.7,18.95,23.58,30.66,41.17,53.73,"39,410","49,040","63,780","85,640","111,750",,
13-2060,Financial Examiners,broad,"30,680",2.1,41.82,"86,980",1.6,21.62,27.62,36.97,52.55,70.20,"44,970","57,440","76,890","109,300","146,020",,
13-2061,Financial Examiners,detailed,"30,680",2.1,41.82,"86,980",1.6,21.62,27.62,36.97,52.55,70.20,"44,970","57,440","76,890","109,300","146,020",,
13-2070,Credit Counselors and Loan Officers,broad,"329,570",1.0,33.43,"69,540",0.5,15.56,20.31,28.41,40.38,57.58,"32,370","42,240","59,090","83,980","119,770",,
13-2071,Credit Counselors,detailed,"27,710",2.9,21.62,"44,960",1.1,13.35,16.00,19.37,24.30,32.30,"27,770","33,280","40,280","50,540","67,180",,
13-2072,Loan Officers,detailed,"301,860",1.1,34.52,"71,800",0.6,15.97,21.17,29.53,41.71,59.02,"33,220","44,030","61,420","86,760","122,770",,
13-2080,"Tax Examiners, Collectors and Preparers, and Revenue Agents",broad,"132,600",1.3,23.84,"49,590",0.8,10.31,14.48,21.25,30.35,42.49,"21,440","30,110","44,210","63,130","88,390",,
13-2081,"Tax Examiners and Collectors, and Revenue Agents",detailed,"64,790",0.3,26.98,"56,120",0.3,14.76,18.64,24.33,33.44,44.59,"30,700","38,780","50,610","69,550","92,750",,
13-2082,Tax Preparers,detailed,"67,810",2.6,20.84,"43,350",1.3,9.05,11.49,16.98,26.74,38.63,"18,820","23,900","35,310","55,630","80,360",,
13-2090,Miscellaneous Financial Specialists,broad,"147,330",1.8,32.76,"68,130",1.0,17.13,22.00,30.05,40.02,51.37,"35,630","45,750","62,510","83,230","106,850",,
13-2099,"Financial Specialists, All Other",detailed,"147,330",1.8,32.76,"68,130",1.0,17.13,22.00,30.05,40.02,51.37,"35,630","45,750","62,510","83,230","106,850",,
15-0000,Computer and Mathematical Occupations,major,"3,696,180",0.5,39.43,"82,010",0.5,19.56,26.96,37.43,49.86,62.79,"40,680","56,070","77,860","103,700","130,600",,
15-1100,Computer Occupations,minor,"3,573,120",0.5,39.36,"81,860",0.5,19.50,26.92,37.42,49.82,62.64,"40,570","56,000","77,840","103,620","130,280",,
15-1110,Computer and Information Research Scientists,broad,"24,380",4.4,52.53,"109,260",1.4,29.47,40.00,51.10,62.38,76.34,"61,300","83,210","106,290","129,750","158,800",,
15-1111,Computer and Information Research Scientists,detailed,"24,380",4.4,52.53,"109,260",1.4,29.47,40.00,51.10,62.38,76.34,"61,300","83,210","106,290","129,750","158,800",,
15-1120,Computer and Information Analysts,broad,"585,120",1.0,41.40,"86,100",0.4,24.18,30.87,39.46,50.09,61.65,"50,300","64,220","82,080","104,180","128,220",,
15-1121,Computer Systems Analysts,detailed,"507,100",1.0,41.02,"85,320",0.4,24.18,30.70,39.03,49.27,60.32,"50,290","63,860","81,190","102,480","125,460",,
15-1122,Information Security Analysts,detailed,"78,020",2.7,43.85,"91,210",0.6,24.24,32.27,42.59,54.38,66.72,"50,430","67,120","88,590","113,100","138,780",,
15-1130,Software Developers and Programmers,broad,"1,442,500",1.0,44.63,"92,820",0.8,24.13,32.47,42.88,55.17,68.51,"50,200","67,540","89,180","114,750","142,500",,
15-1131,Computer Programmers,detailed,"312,340",1.4,38.91,"80,930",1.3,20.98,27.86,36.60,47.00,59.37,"43,640","57,940","76,140","97,760","123,490",,
15-1132,"Software Developers, Applications",detailed,"643,830",1.6,46.28,"96,260",1.0,26.81,34.75,44.55,56.07,69.01,"55,770","72,290","92,660","116,630","143,540",,
15-1133,"Software Developers, Systems Software",detailed,"373,510",2.0,50.23,"104,480",0.5,30.35,38.42,48.75,61.00,72.48,"63,140","79,900","101,410","126,880","150,760",,
15-1134,Web Developers,detailed,"112,820",1.4,32.47,"67,540",0.7,16.02,21.42,30.37,41.00,53.05,"33,320","44,550","63,160","85,270","110,350",,
15-1140,Database and Systems Administrators and Network Architects,broad,"618,480",0.7,39.88,"82,960",0.3,22.34,28.96,37.93,49.33,60.82,"46,470","60,230","78,890","102,600","126,510",,
15-1141,Database Administrators,detailed,"114,910",1.0,38.82,"80,740",0.3,21.02,28.12,37.75,48.78,58.17,"43,720","58,490","78,520","101,450","120,990",,
15-1142,Network and Computer Systems Administrators,detailed,"362,310",0.8,37.46,"77,910",0.3,21.76,27.67,35.58,45.17,56.32,"45,270","57,560","74,000","93,950","117,150",,
15-1143,Computer Network Architects,detailed,"141,270",1.7,46.97,"97,700",0.5,25.92,34.65,45.85,57.54,70.05,"53,920","72,070","95,380","119,690","145,700",,
15-1150,Computer Support Specialists,broad,"706,360",0.7,25.80,"53,660",0.3,14.07,18.13,23.64,31.73,41.40,"29,260","37,720","49,170","66,000","86,110",,
15-1151,Computer User Support Specialists,detailed,"541,250",0.8,24.26,"50,450",0.3,13.36,17.30,22.41,29.26,37.70,"27,780","35,990","46,620","60,860","78,410",,
15-1152,Computer Network Support Specialists,detailed,"165,100",1.3,30.85,"64,160",0.5,16.99,21.74,28.93,37.67,47.99,"35,330","45,230","60,180","78,360","99,810",,
15-1190,Miscellaneous Computer Occupations,broad,"196,280",1.1,40.02,"83,240",0.4,21.68,30.24,39.59,49.83,58.28,"45,090","62,890","82,340","103,640","121,230",,
15-1199,"Computer Occupations, All Other",detailed,"196,280",1.1,40.02,"83,240",0.4,21.68,30.24,39.59,49.83,58.28,"45,090","62,890","82,340","103,640","121,230",,
15-2000,Mathematical Science Occupations,minor,"123,070",1.5,41.57,"86,470",0.7,21.08,27.96,37.72,51.14,66.81,"43,840","58,150","78,450","106,370","138,960",,
15-2010,Actuaries,broad,"20,080",3.8,51.80,"107,740",1.3,27.61,34.14,45.35,63.70,84.71,"57,430","71,000","94,340","132,490","176,190",,
15-2011,Actuaries,detailed,"20,080",3.8,51.80,"107,740",1.3,27.61,34.14,45.35,63.70,84.71,"57,430","71,000","94,340","132,490","176,190",,
15-2020,Mathematicians,broad,"3,030",6.2,49.67,"103,310",2.1,26.54,34.70,49.25,61.82,74.75,"55,200","72,170","102,440","128,590","155,480",,
15-2021,Mathematicians,detailed,"3,030",6.2,49.67,"103,310",2.1,26.54,34.70,49.25,61.82,74.75,"55,200","72,170","102,440","128,590","155,480",,
15-2030,Operations Research Analysts,broad,"72,680",2.1,39.26,"81,660",1.0,20.23,26.50,35.88,47.70,62.60,"42,070","55,110","74,630","99,210","130,210",,
15-2031,Operations Research Analysts,detailed,"72,680",2.1,39.26,"81,660",1.0,20.23,26.50,35.88,47.70,62.60,"42,070","55,110","74,630","99,210","130,210",,
15-2040,Statisticians,broad,"24,950",2.1,40.05,"83,310",1.2,21.30,28.06,38.12,49.94,61.75,"44,310","58,360","79,290","103,870","128,430",,
15-2041,Statisticians,detailed,"24,950",2.1,40.05,"83,310",1.2,21.30,28.06,38.12,49.94,61.75,"44,310","58,360","79,290","103,870","128,430",,
15-2090,Miscellaneous Mathematical Science Occupations,broad,"2,330",7.6,31.22,"64,930",3.2,15.01,19.53,27.70,39.10,53.65,"31,220","40,620","57,630","81,330","111,580",,
15-2091,Mathematical Technicians,detailed,"1,080",8.0,28.97,"60,260",5.4,14.63,17.70,26.07,36.09,49.88,"30,430","36,820","54,230","75,060","103,740",,
15-2099,"Mathematical Science Occupations, All Other",detailed,"1,240",12.3,33.18,"69,000",3.6,16.16,20.97,29.24,41.09,56.39,"33,600","43,610","60,820","85,470","117,290",,
